timestamp,kwh
2024-01-01 00:00:00,39.35
2024-01-01 01:00:00,33.79
2024-01-01 02:00:00,40.67
2024-01-01 03:00:00,48.33
2024-01-01 04:00:00,32.95
2024-01-01 05:00:00,32.95
2024-01-01 06:00:00,48.82
2024-01-01 07:00:00,41.72
2024-01-01 08:00:00,57.37
2024-01-01 09:00:00,73.82
2024-01-01 10:00:00,57.47
2024-01-01 11:00:00,57.43
2024-01-01 12:00:00,68.93
2024-01-01 13:00:00,33.91
2024-01-01 14:00:00,36.97
2024-01-01 15:00:00,55.86
2024-01-01 16:00:00,48.54
2024-01-01 17:00:00,70.11
2024-01-01 18:00:00,50.24
2024-01-01 19:00:00,22.64
2024-01-01 20:00:00,47.82
2024-01-01 21:00:00,33.02
2024-01-01 22:00:00,35.59
2024-01-01 23:00:00,22.53
2024-01-02 00:00:00,30.24
2024-01-02 01:00:00,35.97
2024-01-02 02:00:00,24.93
2024-01-02 03:00:00,38.29
2024-01-02 04:00:00,29.74
2024-01-02 05:00:00,32.45
2024-01-02 06:00:00,29.74
2024-01-02 07:00:00,51.21
2024-01-02 08:00:00,64.78
2024-01-02 09:00:00,47.81
2024-01-02 10:00:00,78.37
2024-01-02 11:00:00,45.16
2024-01-02 12:00:00,68.39
2024-01-02 13:00:00,33.16
2024-01-02 14:00:00,43.42
2024-01-02 15:00:00,68.2
2024-01-02 16:00:00,77.0
2024-01-02 17:00:00,67.78
2024-01-02 18:00:00,63.12
2024-01-02 19:00:00,32.37
2024-01-02 20:00:00,22.06
2024-01-02 21:00:00,28.7
2024-01-02 22:00:00,30.97
2024-01-02 23:00:00,44.25
2024-01-03 00:00:00,38.01
2024-01-03 01:00:00,19.57
2024-01-03 02:00:00,37.84
2024-01-03 03:00:00,31.63
2024-01-03 04:00:00,29.08
2024-01-03 05:00:00,40.35
2024-01-03 06:00:00,44.02
2024-01-03 07:00:00,43.15
2024-01-03 08:00:00,51.36
2024-01-03 09:00:00,59.98
2024-01-03 10:00:00,70.38
2024-01-03 11:00:00,80.85
2024-01-03 12:00:00,57.21
2024-01-03 13:00:00,61.98
2024-01-03 14:00:00,47.02
2024-01-03 15:00:00,45.56
2024-01-03 16:00:00,78.2
2024-01-03 17:00:00,87.04
2024-01-03 18:00:00,63.83
2024-01-03 19:00:00,43.78
2024-01-03 20:00:00,38.16
2024-01-03 21:00:00,29.36
2024-01-03 22:00:00,38.16
2024-01-03 23:00:00,48.46
2024-01-04 00:00:00,34.69
2024-01-04 01:00:00,48.69
2024-01-04 02:00:00,12.08
2024-01-04 03:00:00,42.19
2024-01-04 04:00:00,35.76
2024-01-04 05:00:00,32.38
2024-01-04 06:00:00,35.8
2024-01-04 07:00:00,17.61
2024-01-04 08:00:00,61.43
2024-01-04 09:00:00,70.8
2024-01-04 10:00:00,89.02
2024-01-04 11:00:00,56.58
2024-01-04 12:00:00,51.86
2024-01-04 13:00:00,56.85
2024-01-04 14:00:00,79.88
2024-01-04 15:00:00,70.34
2024-01-04 16:00:00,56.39
2024-01-04 17:00:00,73.34
2024-01-04 18:00:00,66.58
2024-01-04 19:00:00,43.48
2024-01-04 20:00:00,28.86
2024-01-04 21:00:00,32.13
2024-01-04 22:00:00,31.57
2024-01-04 23:00:00,22.19
2024-01-05 00:00:00,37.59
2024-01-05 01:00:00,37.28
2024-01-05 02:00:00,35.04
2024-01-05 03:00:00,32.95
2024-01-05 04:00:00,22.62
2024-01-05 05:00:00,31.32
2024-01-05 06:00:00,32.0
2024-01-05 07:00:00,27.98
2024-01-05 08:00:00,62.38
2024-01-05 09:00:00,71.57
2024-01-05 10:00:00,95.65
2024-01-05 11:00:00,67.84
2024-01-05 12:00:00,69.19
2024-01-05 13:00:00,63.79
2024-01-05 14:00:00,33.82
2024-01-05 15:00:00,64.57
2024-01-05 16:00:00,65.98
2024-01-05 17:00:00,105.03
2024-01-05 18:00:00,61.87
2024-01-05 19:00:00,37.64
2024-01-05 20:00:00,34.7
2024-01-05 21:00:00,24.77
2024-01-05 22:00:00,45.0
2024-01-05 23:00:00,41.58
2024-01-06 00:00:00,41.92
2024-01-06 01:00:00,27.04
2024-01-06 02:00:00,47.27
2024-01-06 03:00:00,22.73
2024-01-06 04:00:00,40.13
2024-01-06 05:00:00,54.17
2024-01-06 06:00:00,26.33
2024-01-06 07:00:00,30.04
2024-01-06 08:00:00,66.62
2024-01-06 09:00:00,56.82
2024-01-06 10:00:00,39.8
2024-01-06 11:00:00,66.11
2024-01-06 12:00:00,47.74
2024-01-06 13:00:00,72.7
2024-01-06 14:00:00,50.06
2024-01-06 15:00:00,90.19
2024-01-06 16:00:00,52.27
2024-01-06 17:00:00,59.77
2024-01-06 18:00:00,78.22
2024-01-06 19:00:00,24.23
2024-01-06 20:00:00,36.99
2024-01-06 21:00:00,46.44
2024-01-06 22:00:00,20.93
2024-01-06 23:00:00,36.62
2024-01-07 00:00:00,37.27
2024-01-07 01:00:00,41.84
2024-01-07 02:00:00,24.18
2024-01-07 03:00:00,23.45
2024-01-07 04:00:00,39.57
2024-01-07 05:00:00,37.6
2024-01-07 06:00:00,37.19
2024-01-07 07:00:00,38.03
2024-01-07 08:00:00,53.95
2024-01-07 09:00:00,68.77
2024-01-07 10:00:00,69.76
2024-01-07 11:00:00,53.39
2024-01-07 12:00:00,95.32
2024-01-07 13:00:00,72.7
2024-01-07 14:00:00,45.64
2024-01-07 15:00:00,75.67
2024-01-07 16:00:00,49.16
2024-01-07 17:00:00,77.79
2024-01-07 18:00:00,83.83
2024-01-07 19:00:00,27.82
2024-01-07 20:00:00,43.43
2024-01-07 21:00:00,38.61
2024-01-07 22:00:00,42.19
2024-01-07 23:00:00,51.6
2024-01-08 00:00:00,32.85
2024-01-08 01:00:00,28.4
2024-01-08 02:00:00,27.22
2024-01-08 03:00:00,27.86
2024-01-08 04:00:00,34.33
2024-01-08 05:00:00,37.99
2024-01-08 06:00:00,37.42
2024-01-08 07:00:00,42.24
2024-01-08 08:00:00,65.21
2024-01-08 09:00:00,88.62
2024-01-08 10:00:00,60.7
2024-01-08 11:00:00,109.2
2024-01-08 12:00:00,75.17
2024-01-08 13:00:00,51.07
2024-01-08 14:00:00,47.6
2024-01-08 15:00:00,72.84
2024-01-08 16:00:00,61.37
2024-01-08 17:00:00,76.6
2024-01-08 18:00:00,72.69
2024-01-08 19:00:00,34.36
2024-01-08 20:00:00,27.59
2024-01-08 21:00:00,21.75
2024-01-08 22:00:00,31.09
2024-01-08 23:00:00,42.49
2024-01-09 00:00:00,36.87
2024-01-09 01:00:00,24.1
2024-01-09 02:00:00,36.52
2024-01-09 03:00:00,38.37
2024-01-09 04:00:00,27.27
2024-01-09 05:00:00,36.35
2024-01-09 06:00:00,35.51
2024-01-09 07:00:00,25.0
2024-01-09 08:00:00,70.81
2024-01-09 09:00:00,74.11
2024-01-09 10:00:00,82.6
2024-01-09 11:00:00,82.12
2024-01-09 12:00:00,42.61
2024-01-09 13:00:00,49.76
2024-01-09 14:00:00,73.37
2024-01-09 15:00:00,73.35
2024-01-09 16:00:00,73.37
2024-01-09 17:00:00,127.61
2024-01-09 18:00:00,74.28
2024-01-09 19:00:00,44.94
2024-01-09 20:00:00,43.35
2024-01-09 21:00:00,40.7
2024-01-09 22:00:00,32.24
2024-01-09 23:00:00,41.64
2024-01-10 00:00:00,28.24
2024-01-10 01:00:00,32.93
2024-01-10 02:00:00,30.75
2024-01-10 03:00:00,35.72
2024-01-10 04:00:00,55.25
2024-01-10 05:00:00,18.66
2024-01-10 06:00:00,41.0
2024-01-10 07:00:00,20.89
2024-01-10 08:00:00,57.33
2024-01-10 09:00:00,82.7
2024-01-10 10:00:00,66.04
2024-01-10 11:00:00,47.49
2024-01-10 12:00:00,53.38
2024-01-10 13:00:00,76.04
2024-01-10 14:00:00,53.13
2024-01-10 15:00:00,68.52
2024-01-10 16:00:00,65.74
2024-01-10 17:00:00,54.41
2024-01-10 18:00:00,99.84
2024-01-10 19:00:00,40.55
2024-01-10 20:00:00,17.28
2024-01-10 21:00:00,36.63
2024-01-10 22:00:00,29.21
2024-01-10 23:00:00,42.46
2024-01-11 00:00:00,28.07
2024-01-11 01:00:00,34.0
2024-01-11 02:00:00,39.42
2024-01-11 03:00:00,42.58
2024-01-11 04:00:00,24.5
2024-01-11 05:00:00,32.07
2024-01-11 06:00:00,30.84
2024-01-11 07:00:00,29.28
2024-01-11 08:00:00,93.69
2024-01-11 09:00:00,71.58
2024-01-11 10:00:00,44.51
2024-01-11 11:00:00,79.92
2024-01-11 12:00:00,99.49
2024-01-11 13:00:00,81.78
2024-01-11 14:00:00,40.31
2024-01-11 15:00:00,57.13
2024-01-11 16:00:00,85.59
2024-01-11 17:00:00,53.5
2024-01-11 18:00:00,72.21
2024-01-11 19:00:00,41.78
2024-01-11 20:00:00,26.89
2024-01-11 21:00:00,34.48
2024-01-11 22:00:00,10.0
2024-01-11 23:00:00,26.04
2024-01-12 00:00:00,32.79
2024-01-12 01:00:00,24.08
2024-01-12 02:00:00,49.28
2024-01-12 03:00:00,22.49
2024-01-12 04:00:00,31.15
2024-01-12 05:00:00,36.14
2024-01-12 06:00:00,47.61
2024-01-12 07:00:00,22.44
2024-01-12 08:00:00,83.9
2024-01-12 09:00:00,65.17
2024-01-12 10:00:00,49.05
2024-01-12 11:00:00,72.51
2024-01-12 12:00:00,68.23
2024-01-12 13:00:00,55.25
2024-01-12 14:00:00,66.13
2024-01-12 15:00:00,58.74
2024-01-12 16:00:00,66.84
2024-01-12 17:00:00,75.76
2024-01-12 18:00:00,90.77
2024-01-12 19:00:00,24.17
2024-01-12 20:00:00,53.66
2024-01-12 21:00:00,17.92
2024-01-12 22:00:00,33.67
2024-01-12 23:00:00,40.15
2024-01-13 00:00:00,37.46
2024-01-13 01:00:00,29.55
2024-01-13 02:00:00,33.18
2024-01-13 03:00:00,30.69
2024-01-13 04:00:00,29.84
2024-01-13 05:00:00,42.43
2024-01-13 06:00:00,38.12
2024-01-13 07:00:00,28.94
2024-01-13 08:00:00,79.62
2024-01-13 09:00:00,69.99
2024-01-13 10:00:00,78.21
2024-01-13 11:00:00,75.23
2024-01-13 12:00:00,51.53
2024-01-13 13:00:00,55.9
2024-01-13 14:00:00,77.14
2024-01-13 15:00:00,74.92
2024-01-13 16:00:00,64.66
2024-01-13 17:00:00,66.91
2024-01-13 18:00:00,85.76
2024-01-13 19:00:00,29.82
2024-01-13 20:00:00,39.79
2024-01-13 21:00:00,33.23
2024-01-13 22:00:00,33.1
2024-01-13 23:00:00,44.61
2024-01-14 00:00:00,42.22
2024-01-14 01:00:00,42.12
2024-01-14 02:00:00,46.42
2024-01-14 03:00:00,35.18
2024-01-14 04:00:00,40.97
2024-01-14 05:00:00,32.29
2024-01-14 06:00:00,37.84
2024-01-14 07:00:00,33.86
2024-01-14 08:00:00,66.58
2024-01-14 09:00:00,74.67
2024-01-14 10:00:00,51.7
2024-01-14 11:00:00,99.0
2024-01-14 12:00:00,48.65
2024-01-14 13:00:00,45.27
