timestamp,kwh
2024-01-01 00:00:00,20.04
2024-01-01 01:00:00,62.12
2024-01-01 02:00:00,31.2
2024-01-01 03:00:00,59.74
2024-01-01 04:00:00,49.21
2024-01-01 05:00:00,34.98
2024-01-01 06:00:00,43.02
2024-01-01 07:00:00,59.09
2024-01-01 08:00:00,21.67
2024-01-01 09:00:00,24.68
2024-01-01 10:00:00,33.45
2024-01-01 11:00:00,11.15
2024-01-01 12:00:00,31.19
2024-01-01 13:00:00,21.66
2024-01-01 14:00:00,15.34
2024-01-01 15:00:00,12.62
2024-01-01 16:00:00,19.81
2024-01-01 17:00:00,26.81
2024-01-01 18:00:00,47.13
2024-01-01 19:00:00,71.21
2024-01-01 20:00:00,27.67
2024-01-01 21:00:00,48.82
2024-01-01 22:00:00,30.59
2024-01-01 23:00:00,54.35
2024-01-02 00:00:00,62.04
2024-01-02 01:00:00,42.81
2024-01-02 02:00:00,10.72
2024-01-02 03:00:00,51.92
2024-01-02 04:00:00,55.42
2024-01-02 05:00:00,54.94
2024-01-02 06:00:00,67.17
2024-01-02 07:00:00,33.26
2024-01-02 08:00:00,25.29
2024-01-02 09:00:00,28.51
2024-01-02 10:00:00,9.79
2024-01-02 11:00:00,23.01
2024-01-02 12:00:00,17.82
2024-01-02 13:00:00,20.49
2024-01-02 14:00:00,23.19
2024-01-02 15:00:00,17.93
2024-01-02 16:00:00,16.74
2024-01-02 17:00:00,21.22
2024-01-02 18:00:00,33.02
2024-01-02 19:00:00,33.04
2024-01-02 20:00:00,58.99
2024-01-02 21:00:00,32.11
2024-01-02 22:00:00,58.79
2024-01-02 23:00:00,55.8
2024-01-03 00:00:00,23.63
2024-01-03 01:00:00,39.04
2024-01-03 02:00:00,66.55
2024-01-03 03:00:00,34.58
2024-01-03 04:00:00,42.17
2024-01-03 05:00:00,55.79
2024-01-03 06:00:00,60.52
2024-01-03 07:00:00,45.3
2024-01-03 08:00:00,17.24
2024-01-03 09:00:00,29.96
2024-01-03 10:00:00,31.96
2024-01-03 11:00:00,27.17
2024-01-03 12:00:00,21.54
2024-01-03 13:00:00,15.91
2024-01-03 14:00:00,15.77
2024-01-03 15:00:00,24.29
2024-01-03 16:00:00,23.64
2024-01-03 17:00:00,29.83
2024-01-03 18:00:00,58.56
2024-01-03 19:00:00,26.9
2024-01-03 20:00:00,64.46
2024-01-03 21:00:00,34.33
2024-01-03 22:00:00,43.36
2024-01-03 23:00:00,52.68
2024-01-04 00:00:00,78.34
2024-01-04 01:00:00,94.72
2024-01-04 02:00:00,57.92
2024-01-04 03:00:00,46.31
2024-01-04 04:00:00,56.86
2024-01-04 05:00:00,62.05
2024-01-04 06:00:00,44.29
2024-01-04 07:00:00,75.39
2024-01-04 08:00:00,22.45
2024-01-04 09:00:00,24.14
2024-01-04 10:00:00,25.2
2024-01-04 11:00:00,23.66
2024-01-04 12:00:00,26.29
2024-01-04 13:00:00,17.11
2024-01-04 14:00:00,17.48
2024-01-04 15:00:00,14.07
2024-01-04 16:00:00,23.77
2024-01-04 17:00:00,25.91
2024-01-04 18:00:00,55.73
2024-01-04 19:00:00,73.62
2024-01-04 20:00:00,48.92
2024-01-04 21:00:00,58.83
2024-01-04 22:00:00,32.95
2024-01-04 23:00:00,43.31
2024-01-05 00:00:00,59.22
2024-01-05 01:00:00,61.48
2024-01-05 02:00:00,44.68
2024-01-05 03:00:00,47.95
2024-01-05 04:00:00,26.69
2024-01-05 05:00:00,43.75
2024-01-05 06:00:00,62.09
2024-01-05 07:00:00,57.46
2024-01-05 08:00:00,24.15
2024-01-05 09:00:00,21.31
2024-01-05 10:00:00,21.04
2024-01-05 11:00:00,16.84
2024-01-05 12:00:00,25.4
2024-01-05 13:00:00,23.65
2024-01-05 14:00:00,24.1
2024-01-05 15:00:00,17.69
2024-01-05 16:00:00,7.43
2024-01-05 17:00:00,27.91
2024-01-05 18:00:00,41.96
2024-01-05 19:00:00,36.32
2024-01-05 20:00:00,59.19
2024-01-05 21:00:00,43.24
2024-01-05 22:00:00,64.58
2024-01-05 23:00:00,58.07
2024-01-06 00:00:00,59.05
2024-01-06 01:00:00,28.92
2024-01-06 02:00:00,66.82
2024-01-06 03:00:00,52.84
2024-01-06 04:00:00,43.57
2024-01-06 05:00:00,51.11
2024-01-06 06:00:00,22.89
2024-01-06 07:00:00,55.01
2024-01-06 08:00:00,14.51
2024-01-06 09:00:00,12.48
2024-01-06 10:00:00,11.41
2024-01-06 11:00:00,28.01
2024-01-06 12:00:00,17.04
2024-01-06 13:00:00,30.66
2024-01-06 14:00:00,17.62
2024-01-06 15:00:00,10.24
2024-01-06 16:00:00,13.97
2024-01-06 17:00:00,28.79
2024-01-06 18:00:00,46.71
2024-01-06 19:00:00,40.94
2024-01-06 20:00:00,51.35
2024-01-06 21:00:00,56.38
2024-01-06 22:00:00,65.43
2024-01-06 23:00:00,70.29
2024-01-07 00:00:00,43.71
2024-01-07 01:00:00,29.51
2024-01-07 02:00:00,42.92
2024-01-07 03:00:00,52.83
2024-01-07 04:00:00,34.83
2024-01-07 05:00:00,34.93
2024-01-07 06:00:00,54.05
2024-01-07 07:00:00,48.28
2024-01-07 08:00:00,21.21
2024-01-07 09:00:00,16.22
2024-01-07 10:00:00,19.55
2024-01-07 11:00:00,15.18
2024-01-07 12:00:00,26.61
2024-01-07 13:00:00,27.52
2024-01-07 14:00:00,9.37
2024-01-07 15:00:00,15.14
2024-01-07 16:00:00,11.57
2024-01-07 17:00:00,16.9
2024-01-07 18:00:00,47.77
2024-01-07 19:00:00,27.69
2024-01-07 20:00:00,35.45
2024-01-07 21:00:00,34.24
2024-01-07 22:00:00,52.05
2024-01-07 23:00:00,50.02
2024-01-08 00:00:00,38.39
2024-01-08 01:00:00,51.6
2024-01-08 02:00:00,40.96
2024-01-08 03:00:00,45.01
2024-01-08 04:00:00,73.6
2024-01-08 05:00:00,68.7
2024-01-08 06:00:00,29.9
2024-01-08 07:00:00,61.2
2024-01-08 08:00:00,26.11
2024-01-08 09:00:00,13.77
2024-01-08 10:00:00,26.16
2024-01-08 11:00:00,30.69
2024-01-08 12:00:00,13.93
2024-01-08 13:00:00,15.22
2024-01-08 14:00:00,27.41
2024-01-08 15:00:00,22.71
2024-01-08 16:00:00,24.47
2024-01-08 17:00:00,23.15
2024-01-08 18:00:00,54.74
2024-01-08 19:00:00,29.5
2024-01-08 20:00:00,64.4
2024-01-08 21:00:00,66.19
2024-01-08 22:00:00,45.63
2024-01-08 23:00:00,48.36
2024-01-09 00:00:00,26.49
2024-01-09 01:00:00,56.56
2024-01-09 02:00:00,57.41
2024-01-09 03:00:00,48.09
2024-01-09 04:00:00,65.53
2024-01-09 05:00:00,44.09
2024-01-09 06:00:00,57.3
2024-01-09 07:00:00,34.01
2024-01-09 08:00:00,20.85
2024-01-09 09:00:00,19.9
2024-01-09 10:00:00,22.42
2024-01-09 11:00:00,18.67
2024-01-09 12:00:00,20.17
2024-01-09 13:00:00,26.2
2024-01-09 14:00:00,18.25
2024-01-09 15:00:00,10.88
2024-01-09 16:00:00,32.02
2024-01-09 17:00:00,29.7
2024-01-09 18:00:00,30.0
2024-01-09 19:00:00,59.14
2024-01-09 20:00:00,41.61
2024-01-09 21:00:00,52.87
2024-01-09 22:00:00,53.33
2024-01-09 23:00:00,45.55
2024-01-10 00:00:00,37.48
2024-01-10 01:00:00,38.85
2024-01-10 02:00:00,35.53
2024-01-10 03:00:00,36.77
2024-01-10 04:00:00,48.01
2024-01-10 05:00:00,38.48
2024-01-10 06:00:00,59.03
2024-01-10 07:00:00,70.86
2024-01-10 08:00:00,17.35
2024-01-10 09:00:00,22.51
2024-01-10 10:00:00,24.15
2024-01-10 11:00:00,23.97
2024-01-10 12:00:00,21.48
2024-01-10 13:00:00,25.68
2024-01-10 14:00:00,24.04
2024-01-10 15:00:00,13.2
2024-01-10 16:00:00,26.48
2024-01-10 17:00:00,26.59
2024-01-10 18:00:00,37.78
2024-01-10 19:00:00,49.56
2024-01-10 20:00:00,59.04
2024-01-10 21:00:00,45.92
2024-01-10 22:00:00,64.77
2024-01-10 23:00:00,83.75
2024-01-11 00:00:00,37.45
2024-01-11 01:00:00,28.7
2024-01-11 02:00:00,53.47
2024-01-11 03:00:00,59.61
2024-01-11 04:00:00,45.61
2024-01-11 05:00:00,70.36
2024-01-11 06:00:00,29.32
2024-01-11 07:00:00,59.19
2024-01-11 08:00:00,17.18
2024-01-11 09:00:00,31.83
2024-01-11 10:00:00,33.55
2024-01-11 11:00:00,16.17
2024-01-11 12:00:00,17.54
2024-01-11 13:00:00,26.42
2024-01-11 14:00:00,18.56
2024-01-11 15:00:00,20.71
2024-01-11 16:00:00,21.16
2024-01-11 17:00:00,8.91
2024-01-11 18:00:00,48.8
2024-01-11 19:00:00,38.86
2024-01-11 20:00:00,41.75
2024-01-11 21:00:00,70.22
2024-01-11 22:00:00,30.53
2024-01-11 23:00:00,60.95
2024-01-12 00:00:00,44.9
2024-01-12 01:00:00,44.89
2024-01-12 02:00:00,60.62
2024-01-12 03:00:00,54.0
2024-01-12 04:00:00,57.39
2024-01-12 05:00:00,63.23
2024-01-12 06:00:00,44.13
2024-01-12 07:00:00,40.0
2024-01-12 08:00:00,14.16
2024-01-12 09:00:00,15.8
2024-01-12 10:00:00,39.58
2024-01-12 11:00:00,28.84
2024-01-12 12:00:00,12.49
2024-01-12 13:00:00,12.67
2024-01-12 14:00:00,24.04
2024-01-12 15:00:00,24.45
2024-01-12 16:00:00,24.46
2024-01-12 17:00:00,19.39
2024-01-12 18:00:00,47.16
2024-01-12 19:00:00,53.82
2024-01-12 20:00:00,50.26
2024-01-12 21:00:00,16.38
2024-01-12 22:00:00,45.62
2024-01-12 23:00:00,36.48
2024-01-13 00:00:00,51.58
2024-01-13 01:00:00,92.88
2024-01-13 02:00:00,54.4
2024-01-13 03:00:00,44.39
2024-01-13 04:00:00,62.55
2024-01-13 05:00:00,56.1
2024-01-13 06:00:00,55.18
2024-01-13 07:00:00,57.92
2024-01-13 08:00:00,33.96
2024-01-13 09:00:00,13.88
