timestamp,kwh
2024-01-01 00:00:00,13.79
2024-01-01 01:00:00,10.69
2024-01-01 02:00:00,12.97
2024-01-01 03:00:00,10.61
2024-01-01 04:00:00,10.97
2024-01-01 05:00:00,8.98
2024-01-01 06:00:00,10.19
2024-01-01 07:00:00,9.12
2024-01-01 08:00:00,10.06
2024-01-01 09:00:00,36.32
2024-01-01 10:00:00,24.3
2024-01-01 11:00:00,45.79
2024-01-01 12:00:00,32.96
2024-01-01 13:00:00,31.11
2024-01-01 14:00:00,24.85
2024-01-01 15:00:00,34.2
2024-01-01 16:00:00,26.55
2024-01-01 17:00:00,30.73
2024-01-01 18:00:00,45.36
2024-01-01 19:00:00,29.42
2024-01-01 20:00:00,36.9
2024-01-01 21:00:00,25.78
2024-01-01 22:00:00,12.41
2024-01-01 23:00:00,16.93
2024-01-02 00:00:00,10.93
2024-01-02 01:00:00,17.03
2024-01-02 02:00:00,14.27
2024-01-02 03:00:00,11.09
2024-01-02 04:00:00,14.08
2024-01-02 05:00:00,14.93
2024-01-02 06:00:00,14.05
2024-01-02 07:00:00,8.57
2024-01-02 08:00:00,10.68
2024-01-02 09:00:00,28.51
2024-01-02 10:00:00,29.55
2024-01-02 11:00:00,33.72
2024-01-02 12:00:00,31.07
2024-01-02 13:00:00,21.99
2024-01-02 14:00:00,32.28
2024-01-02 15:00:00,33.66
2024-01-02 16:00:00,33.36
2024-01-02 17:00:00,36.48
2024-01-02 18:00:00,35.0
2024-01-02 19:00:00,32.76
2024-01-02 20:00:00,29.58
2024-01-02 21:00:00,20.03
2024-01-02 22:00:00,13.57
2024-01-02 23:00:00,13.02
2024-01-03 00:00:00,13.18
2024-01-03 01:00:00,9.31
2024-01-03 02:00:00,9.8
2024-01-03 03:00:00,15.13
2024-01-03 04:00:00,12.4
2024-01-03 05:00:00,14.2
2024-01-03 06:00:00,12.57
2024-01-03 07:00:00,12.57
2024-01-03 08:00:00,14.85
2024-01-03 09:00:00,26.9
2024-01-03 10:00:00,30.58
2024-01-03 11:00:00,27.23
2024-01-03 12:00:00,27.39
2024-01-03 13:00:00,28.14
2024-01-03 14:00:00,31.33
2024-01-03 15:00:00,27.13
2024-01-03 16:00:00,37.53
2024-01-03 17:00:00,24.63
2024-01-03 18:00:00,28.88
2024-01-03 19:00:00,27.36
2024-01-03 20:00:00,38.68
2024-01-03 21:00:00,31.18
2024-01-03 22:00:00,15.08
2024-01-03 23:00:00,8.79
2024-01-04 00:00:00,13.17
2024-01-04 01:00:00,14.72
2024-01-04 02:00:00,12.71
2024-01-04 03:00:00,15.16
2024-01-04 04:00:00,11.21
2024-01-04 05:00:00,16.02
2024-01-04 06:00:00,18.25
2024-01-04 07:00:00,11.59
2024-01-04 08:00:00,11.39
2024-01-04 09:00:00,38.72
2024-01-04 10:00:00,39.48
2024-01-04 11:00:00,26.86
2024-01-04 12:00:00,27.48
2024-01-04 13:00:00,28.31
2024-01-04 14:00:00,21.93
2024-01-04 15:00:00,24.49
2024-01-04 16:00:00,23.98
2024-01-04 17:00:00,25.39
2024-01-04 18:00:00,29.79
2024-01-04 19:00:00,31.41
2024-01-04 20:00:00,39.3
2024-01-04 21:00:00,24.01
2024-01-04 22:00:00,14.96
2024-01-04 23:00:00,11.97
2024-01-05 00:00:00,12.38
2024-01-05 01:00:00,14.19
2024-01-05 02:00:00,9.69
2024-01-05 03:00:00,13.46
2024-01-05 04:00:00,12.92
2024-01-05 05:00:00,13.73
2024-01-05 06:00:00,13.22
2024-01-05 07:00:00,18.64
2024-01-05 08:00:00,10.91
2024-01-05 09:00:00,26.81
2024-01-05 10:00:00,26.26
2024-01-05 11:00:00,26.67
2024-01-05 12:00:00,26.18
2024-01-05 13:00:00,37.13
2024-01-05 14:00:00,38.52
2024-01-05 15:00:00,26.58
2024-01-05 16:00:00,25.01
2024-01-05 17:00:00,32.83
2024-01-05 18:00:00,26.69
2024-01-05 19:00:00,33.8
2024-01-05 20:00:00,31.22
2024-01-05 21:00:00,20.91
2024-01-05 22:00:00,16.37
2024-01-05 23:00:00,16.99
2024-01-06 00:00:00,10.97
2024-01-06 01:00:00,11.53
2024-01-06 02:00:00,13.21
2024-01-06 03:00:00,13.34
2024-01-06 04:00:00,14.15
2024-01-06 05:00:00,17.53
2024-01-06 06:00:00,12.06
2024-01-06 07:00:00,10.5
2024-01-06 08:00:00,9.05
2024-01-06 09:00:00,25.61
2024-01-06 10:00:00,29.8
2024-01-06 11:00:00,40.77
2024-01-06 12:00:00,26.89
2024-01-06 13:00:00,31.34
2024-01-06 14:00:00,29.9
2024-01-06 15:00:00,37.13
2024-01-06 16:00:00,45.16
2024-01-06 17:00:00,26.81
2024-01-06 18:00:00,27.06
2024-01-06 19:00:00,36.26
2024-01-06 20:00:00,34.09
2024-01-06 21:00:00,41.08
2024-01-06 22:00:00,13.96
2024-01-06 23:00:00,11.6
2024-01-07 00:00:00,13.98
2024-01-07 01:00:00,15.27
2024-01-07 02:00:00,14.55
2024-01-07 03:00:00,13.77
2024-01-07 04:00:00,15.17
2024-01-07 05:00:00,15.42
2024-01-07 06:00:00,15.96
2024-01-07 07:00:00,14.12
2024-01-07 08:00:00,12.08
2024-01-07 09:00:00,30.88
2024-01-07 10:00:00,37.24
2024-01-07 11:00:00,25.1
2024-01-07 12:00:00,32.21
2024-01-07 13:00:00,27.64
2024-01-07 14:00:00,30.17
2024-01-07 15:00:00,37.67
2024-01-07 16:00:00,31.15
2024-01-07 17:00:00,30.28
2024-01-07 18:00:00,21.84
2024-01-07 19:00:00,34.48
2024-01-07 20:00:00,33.87
2024-01-07 21:00:00,42.98
2024-01-07 22:00:00,11.73
2024-01-07 23:00:00,13.05
2024-01-08 00:00:00,13.12
2024-01-08 01:00:00,16.44
2024-01-08 02:00:00,12.26
2024-01-08 03:00:00,13.2
2024-01-08 04:00:00,14.02
2024-01-08 05:00:00,12.97
2024-01-08 06:00:00,11.38
2024-01-08 07:00:00,12.99
2024-01-08 08:00:00,15.18
2024-01-08 09:00:00,23.84
2024-01-08 10:00:00,30.8
2024-01-08 11:00:00,25.8
2024-01-08 12:00:00,37.17
2024-01-08 13:00:00,20.86
2024-01-08 14:00:00,26.65
2024-01-08 15:00:00,32.26
2024-01-08 16:00:00,39.39
2024-01-08 17:00:00,29.61
2024-01-08 18:00:00,26.67
2024-01-08 19:00:00,41.29
2024-01-08 20:00:00,21.31
2024-01-08 21:00:00,16.81
2024-01-08 22:00:00,13.6
2024-01-08 23:00:00,11.24
2024-01-09 00:00:00,9.95
2024-01-09 01:00:00,14.27
2024-01-09 02:00:00,13.11
2024-01-09 03:00:00,11.09
2024-01-09 04:00:00,9.3
2024-01-09 05:00:00,14.68
2024-01-09 06:00:00,14.13
2024-01-09 07:00:00,12.25
2024-01-09 08:00:00,17.12
2024-01-09 09:00:00,23.58
2024-01-09 10:00:00,20.85
2024-01-09 11:00:00,25.85
2024-01-09 12:00:00,29.73
2024-01-09 13:00:00,31.46
2024-01-09 14:00:00,28.55
2024-01-09 15:00:00,32.11
2024-01-09 16:00:00,22.49
2024-01-09 17:00:00,38.66
2024-01-09 18:00:00,29.51
2024-01-09 19:00:00,36.7
2024-01-09 20:00:00,32.06
2024-01-09 21:00:00,32.74
2024-01-09 22:00:00,13.92
2024-01-09 23:00:00,13.62
2024-01-10 00:00:00,14.11
2024-01-10 01:00:00,15.82
2024-01-10 02:00:00,12.99
2024-01-10 03:00:00,14.27
2024-01-10 04:00:00,12.28
2024-01-10 05:00:00,16.1
2024-01-10 06:00:00,10.81
2024-01-10 07:00:00,17.0
2024-01-10 08:00:00,12.4
2024-01-10 09:00:00,21.42
2024-01-10 10:00:00,30.77
2024-01-10 11:00:00,25.91
2024-01-10 12:00:00,35.04
2024-01-10 13:00:00,26.08
2024-01-10 14:00:00,27.32
2024-01-10 15:00:00,18.66
2024-01-10 16:00:00,27.29
2024-01-10 17:00:00,15.46
2024-01-10 18:00:00,20.5
2024-01-10 19:00:00,34.56
2024-01-10 20:00:00,34.71
2024-01-10 21:00:00,32.55
2024-01-10 22:00:00,10.08
2024-01-10 23:00:00,12.38
2024-01-11 00:00:00,12.49
2024-01-11 01:00:00,9.6
2024-01-11 02:00:00,16.26
2024-01-11 03:00:00,14.69
2024-01-11 04:00:00,11.95
2024-01-11 05:00:00,12.57
2024-01-11 06:00:00,13.02
2024-01-11 07:00:00,7.4
2024-01-11 08:00:00,11.88
2024-01-11 09:00:00,25.91
2024-01-11 10:00:00,23.99
2024-01-11 11:00:00,28.31
2024-01-11 12:00:00,40.79
2024-01-11 13:00:00,33.85
2024-01-11 14:00:00,26.57
2024-01-11 15:00:00,33.44
2024-01-11 16:00:00,38.4
2024-01-11 17:00:00,35.55
2024-01-11 18:00:00,30.36
2024-01-11 19:00:00,26.12
2024-01-11 20:00:00,34.19
2024-01-11 21:00:00,32.36
2024-01-11 22:00:00,14.74
2024-01-11 23:00:00,14.09
2024-01-12 00:00:00,15.12
2024-01-12 01:00:00,11.16
2024-01-12 02:00:00,15.79
2024-01-12 03:00:00,12.99
2024-01-12 04:00:00,17.69
2024-01-12 05:00:00,10.78
2024-01-12 06:00:00,16.84
2024-01-12 07:00:00,12.99
2024-01-12 08:00:00,10.87
2024-01-12 09:00:00,27.1
2024-01-12 10:00:00,28.08
2024-01-12 11:00:00,32.54
2024-01-12 12:00:00,33.14
2024-01-12 13:00:00,26.56
2024-01-12 14:00:00,29.85
2024-01-12 15:00:00,42.85
2024-01-12 16:00:00,40.37
2024-01-12 17:00:00,32.62
2024-01-12 18:00:00,30.23
2024-01-12 19:00:00,30.72
2024-01-12 20:00:00,33.68
2024-01-12 21:00:00,23.86
2024-01-12 22:00:00,11.86
2024-01-12 23:00:00,8.33
2024-01-13 00:00:00,13.5
2024-01-13 01:00:00,14.12
2024-01-13 02:00:00,11.29
2024-01-13 03:00:00,16.43
2024-01-13 04:00:00,9.44
2024-01-13 05:00:00,8.84
2024-01-13 06:00:00,13.06
2024-01-13 07:00:00,15.12
2024-01-13 08:00:00,16.71
2024-01-13 09:00:00,27.25
2024-01-13 10:00:00,36.47
2024-01-13 11:00:00,29.77
2024-01-13 12:00:00,28.96
2024-01-13 13:00:00,35.3
2024-01-13 14:00:00,33.91
2024-01-13 15:00:00,20.54
2024-01-13 16:00:00,38.86
2024-01-13 17:00:00,38.28
2024-01-13 18:00:00,26.25
2024-01-13 19:00:00,32.37
2024-01-13 20:00:00,32.96
2024-01-13 21:00:00,31.56
2024-01-13 22:00:00,11.12
2024-01-13 23:00:00,10.82
2024-01-14 00:00:00,12.44
2024-01-14 01:00:00,15.43
2024-01-14 02:00:00,13.86
2024-01-14 03:00:00,11.57
2024-01-14 04:00:00,14.43
2024-01-14 05:00:00,5.38
2024-01-14 06:00:00,15.37
2024-01-14 07:00:00,8.15
2024-01-14 08:00:00,11.59
2024-01-14 09:00:00,23.28
2024-01-14 10:00:00,22.23
2024-01-14 11:00:00,36.96
2024-01-14 12:00:00,27.19
2024-01-14 13:00:00,32.08
2024-01-14 14:00:00,29.72
2024-01-14 15:00:00,32.86
2024-01-14 16:00:00,30.46
2024-01-14 17:00:00,22.3
2024-01-14 18:00:00,35.98
2024-01-14 19:00:00,27.04
2024-01-14 20:00:00,20.66
2024-01-14 21:00:00,27.43
2024-01-14 22:00:00,16.25
2024-01-14 23:00:00,14.63
2024-01-15 00:00:00,11.63
2024-01-15 01:00:00,11.63
2024-01-15 02:00:00,11.7
2024-01-15 03:00:00,17.69
2024-01-15 04:00:00,13.45
2024-01-15 05:00:00,13.58
2024-01-15 06:00:00,15.08
2024-01-15 07:00:00,13.1
2024-01-15 08:00:00,11.85
2024-01-15 09:00:00,28.82
2024-01-15 10:00:00,29.57
2024-01-15 11:00:00,29.78
2024-01-15 12:00:00,34.37
2024-01-15 13:00:00,30.31
2024-01-15 14:00:00,34.4
2024-01-15 15:00:00,29.52
2024-01-15 16:00:00,30.47
2024-01-15 17:00:00,18.01
2024-01-15 18:00:00,35.5
2024-01-15 19:00:00,32.08
2024-01-15 20:00:00,35.99
2024-01-15 21:00:00,12.62
2024-01-15 22:00:00,17.72
2024-01-15 23:00:00,12.15
2024-01-16 00:00:00,15.27
2024-01-16 01:00:00,9.9
2024-01-16 02:00:00,14.03
2024-01-16 03:00:00,9.87
2024-01-16 04:00:00,10.94
2024-01-16 05:00:00,17.29
2024-01-16 06:00:00,12.02
2024-01-16 07:00:00,13.04
2024-01-16 08:00:00,14.68
2024-01-16 09:00:00,32.97
2024-01-16 10:00:00,30.9
2024-01-16 11:00:00,32.19
2024-01-16 12:00:00,44.42
2024-01-16 13:00:00,29.65
2024-01-16 14:00:00,31.21
2024-01-16 15:00:00,36.3
2024-01-16 16:00:00,36.63
2024-01-16 17:00:00,37.12
2024-01-16 18:00:00,33.83
2024-01-16 19:00:00,23.14
2024-01-16 20:00:00,39.8
2024-01-16 21:00:00,23.12
2024-01-16 22:00:00,13.26
2024-01-16 23:00:00,10.61
2024-01-17 00:00:00,12.34
2024-01-17 01:00:00,13.32
2024-01-17 02:00:00,13.3
2024-01-17 03:00:00,13.55
2024-01-17 04:00:00,16.53
2024-01-17 05:00:00,13.63
2024-01-17 06:00:00,11.89
2024-01-17 07:00:00,14.91
2024-01-17 08:00:00,15.47
2024-01-17 09:00:00,22.63
2024-01-17 10:00:00,33.58
2024-01-17 11:00:00,34.21
2024-01-17 12:00:00,28.21
2024-01-17 13:00:00,38.25
2024-01-17 14:00:00,29.1
2024-01-17 15:00:00,30.75
2024-01-17 16:00:00,28.96
2024-01-17 17:00:00,30.09
2024-01-17 18:00:00,23.42
2024-01-17 19:00:00,21.36
2024-01-17 20:00:00,39.57
2024-01-17 21:00:00,24.92
2024-01-17 22:00:00,10.02
2024-01-17 23:00:00,7.12
2024-01-18 00:00:00,10.9
2024-01-18 01:00:00,9.19
2024-01-18 02:00:00,16.61
2024-01-18 03:00:00,15.02
2024-01-18 04:00:00,10.78
2024-01-18 05:00:00,18.13
2024-01-18 06:00:00,14.95
2024-01-18 07:00:00,11.69
2024-01-18 08:00:00,6.25
2024-01-18 09:00:00,43.75
2024-01-18 10:00:00,21.66
2024-01-18 11:00:00,20.13
2024-01-18 12:00:00,36.14
2024-01-18 13:00:00,44.64
2024-01-18 14:00:00,38.31
2024-01-18 15:00:00,33.38
2024-01-18 16:00:00,33.57
2024-01-18 17:00:00,35.12
2024-01-18 18:00:00,34.55
2024-01-18 19:00:00,31.69
2024-01-18 20:00:00,30.63
2024-01-18 21:00:00,29.62
2024-01-18 22:00:00,10.62
2024-01-18 23:00:00,11.8
2024-01-19 00:00:00,8.27
2024-01-19 01:00:00,12.25
2024-01-19 02:00:00,10.03
2024-01-19 03:00:00,9.74
2024-01-19 04:00:00,12.95
2024-01-19 05:00:00,15.98
2024-01-19 06:00:00,14.8
2024-01-19 07:00:00,8.57
2024-01-19 08:00:00,10.03
2024-01-19 09:00:00,35.64
2024-01-19 10:00:00,24.11
2024-01-19 11:00:00,28.65
2024-01-19 12:00:00,33.3
2024-01-19 13:00:00,24.19
2024-01-19 14:00:00,30.63
2024-01-19 15:00:00,22.0
2024-01-19 16:00:00,26.39
2024-01-19 17:00:00,31.92
2024-01-19 18:00:00,20.44
2024-01-19 19:00:00,32.64
2024-01-19 20:00:00,29.88
