timestamp,kwh,building
2024-01-01 00:00:00,5.56,Admin Block
2024-01-01 00:00:00,39.35,Engg Block
2024-01-01 00:00:00,13.79,Library
2024-01-01 00:00:00,20.04,Hostel
2024-01-01 01:00:00,10.69,Library
2024-01-01 01:00:00,10.02,Admin Block
2024-01-01 01:00:00,33.79,Engg Block
2024-01-01 01:00:00,62.12,Hostel
2024-01-01 02:00:00,40.67,Engg Block
2024-01-01 02:00:00,12.97,Library
2024-01-01 02:00:00,7.12,Admin Block
2024-01-01 02:00:00,31.2,Hostel
2024-01-01 03:00:00,48.33,Engg Block
2024-01-01 03:00:00,10.61,Library
2024-01-01 03:00:00,12.09,Admin Block
2024-01-01 03:00:00,59.74,Hostel
2024-01-01 04:00:00,32.95,Engg Block
2024-01-01 04:00:00,10.97,Library
2024-01-01 04:00:00,49.21,Hostel
2024-01-01 04:00:00,7.1,Admin Block
2024-01-01 05:00:00,8.98,Library
2024-01-01 05:00:00,8.3,Admin Block
2024-01-01 05:00:00,32.95,Engg Block
2024-01-01 05:00:00,34.98,Hostel
2024-01-01 06:00:00,10.47,Admin Block
2024-01-01 06:00:00,43.02,Hostel
2024-01-01 06:00:00,48.82,Engg Block
2024-01-01 06:00:00,10.19,Library
2024-01-01 07:00:00,11.21,Admin Block
2024-01-01 07:00:00,59.09,Hostel
2024-01-01 07:00:00,41.72,Engg Block
2024-01-01 07:00:00,9.12,Library
2024-01-01 08:00:00,21.67,Hostel
2024-01-01 08:00:00,57.37,Engg Block
2024-01-01 08:00:00,11.3,Admin Block
2024-01-01 08:00:00,10.06,Library
2024-01-01 09:00:00,24.68,Hostel
2024-01-01 09:00:00,73.82,Engg Block
2024-01-01 09:00:00,31.04,Admin Block
2024-01-01 09:00:00,36.32,Library
2024-01-01 10:00:00,24.3,Library
2024-01-01 10:00:00,33.45,Hostel
2024-01-01 10:00:00,57.47,Engg Block
2024-01-01 10:00:00,30.12,Admin Block
2024-01-01 11:00:00,27.96,Admin Block
2024-01-01 11:00:00,11.15,Hostel
2024-01-01 11:00:00,45.79,Library
2024-01-01 11:00:00,57.43,Engg Block
2024-01-01 12:00:00,32.96,Library
2024-01-01 12:00:00,31.19,Hostel
2024-01-01 12:00:00,68.93,Engg Block
2024-01-01 12:00:00,28.89,Admin Block
2024-01-01 13:00:00,31.11,Library
2024-01-01 13:00:00,21.66,Hostel
2024-01-01 13:00:00,22.24,Admin Block
2024-01-01 13:00:00,33.91,Engg Block
2024-01-01 14:00:00,24.85,Library
2024-01-01 14:00:00,20.91,Admin Block
2024-01-01 14:00:00,15.34,Hostel
2024-01-01 14:00:00,36.97,Engg Block
2024-01-01 15:00:00,24.98,Admin Block
2024-01-01 15:00:00,34.2,Library
2024-01-01 15:00:00,12.62,Hostel
2024-01-01 15:00:00,55.86,Engg Block
2024-01-01 16:00:00,19.81,Hostel
2024-01-01 16:00:00,48.54,Engg Block
2024-01-01 16:00:00,24.15,Admin Block
2024-01-01 16:00:00,26.55,Library
2024-01-01 17:00:00,70.11,Engg Block
2024-01-01 17:00:00,22.73,Admin Block
2024-01-01 17:00:00,30.73,Library
2024-01-01 17:00:00,26.81,Hostel
2024-01-01 18:00:00,50.24,Engg Block
2024-01-01 18:00:00,45.36,Library
2024-01-01 18:00:00,47.13,Hostel
2024-01-01 18:00:00,9.11,Admin Block
2024-01-01 19:00:00,22.64,Engg Block
2024-01-01 19:00:00,29.42,Library
2024-01-01 19:00:00,9.53,Admin Block
2024-01-01 19:00:00,71.21,Hostel
2024-01-01 20:00:00,47.82,Engg Block
2024-01-01 20:00:00,36.9,Library
2024-01-01 20:00:00,27.67,Hostel
2024-01-01 20:00:00,8.14,Admin Block
2024-01-01 21:00:00,25.78,Library
2024-01-01 21:00:00,33.02,Engg Block
2024-01-01 21:00:00,10.36,Admin Block
2024-01-01 21:00:00,48.82,Hostel
2024-01-01 22:00:00,30.59,Hostel
2024-01-01 22:00:00,12.41,Library
2024-01-01 22:00:00,35.59,Engg Block
2024-01-01 22:00:00,6.17,Admin Block
2024-01-01 23:00:00,22.53,Engg Block
2024-01-01 23:00:00,7.69,Admin Block
2024-01-01 23:00:00,54.35,Hostel
2024-01-01 23:00:00,16.93,Library
2024-01-02 00:00:00,6.85,Admin Block
2024-01-02 00:00:00,30.24,Engg Block
2024-01-02 00:00:00,10.93,Library
2024-01-02 00:00:00,62.04,Hostel
2024-01-02 01:00:00,5.01,Admin Block
2024-01-02 01:00:00,17.03,Library
2024-01-02 01:00:00,42.81,Hostel
2024-01-02 01:00:00,35.97,Engg Block
2024-01-02 02:00:00,24.93,Engg Block
2024-01-02 02:00:00,10.72,Hostel
2024-01-02 02:00:00,14.27,Library
2024-01-02 02:00:00,7.87,Admin Block
2024-01-02 03:00:00,11.09,Library
2024-01-02 03:00:00,51.92,Hostel
2024-01-02 03:00:00,7.81,Admin Block
2024-01-02 03:00:00,38.29,Engg Block
2024-01-02 04:00:00,14.08,Library
2024-01-02 04:00:00,55.42,Hostel
2024-01-02 04:00:00,29.74,Engg Block
2024-01-02 04:00:00,10.42,Admin Block
2024-01-02 05:00:00,54.94,Hostel
2024-01-02 05:00:00,32.45,Engg Block
2024-01-02 05:00:00,14.93,Library
2024-01-02 05:00:00,9.01,Admin Block
2024-01-02 06:00:00,29.74,Engg Block
2024-01-02 06:00:00,14.05,Library
2024-01-02 06:00:00,67.17,Hostel
2024-01-02 06:00:00,6.36,Admin Block
2024-01-02 07:00:00,33.26,Hostel
2024-01-02 07:00:00,51.21,Engg Block
2024-01-02 07:00:00,8.57,Library
2024-01-02 07:00:00,10.97,Admin Block
2024-01-02 08:00:00,9.95,Admin Block
2024-01-02 08:00:00,10.68,Library
2024-01-02 08:00:00,25.29,Hostel
2024-01-02 08:00:00,64.78,Engg Block
2024-01-02 09:00:00,28.51,Hostel
2024-01-02 09:00:00,28.51,Library
2024-01-02 09:00:00,27.91,Admin Block
2024-01-02 09:00:00,47.81,Engg Block
2024-01-02 10:00:00,78.37,Engg Block
2024-01-02 10:00:00,23.87,Admin Block
2024-01-02 10:00:00,9.79,Hostel
2024-01-02 10:00:00,29.55,Library
2024-01-02 11:00:00,33.72,Library
2024-01-02 11:00:00,45.16,Engg Block
2024-01-02 11:00:00,20.2,Admin Block
2024-01-02 11:00:00,23.01,Hostel
2024-01-02 12:00:00,31.07,Library
2024-01-02 12:00:00,17.82,Hostel
2024-01-02 12:00:00,68.39,Engg Block
2024-01-02 12:00:00,23.14,Admin Block
2024-01-02 13:00:00,33.16,Engg Block
2024-01-02 13:00:00,21.99,Library
2024-01-02 13:00:00,30.44,Admin Block
2024-01-02 13:00:00,20.49,Hostel
2024-01-02 14:00:00,43.42,Engg Block
2024-01-02 14:00:00,32.28,Library
2024-01-02 14:00:00,34.42,Admin Block
2024-01-02 14:00:00,23.19,Hostel
2024-01-02 15:00:00,32.72,Admin Block
2024-01-02 15:00:00,33.66,Library
2024-01-02 15:00:00,17.93,Hostel
2024-01-02 15:00:00,68.2,Engg Block
2024-01-02 16:00:00,16.74,Hostel
2024-01-02 16:00:00,33.36,Library
2024-01-02 16:00:00,77.0,Engg Block
2024-01-02 16:00:00,22.56,Admin Block
2024-01-02 17:00:00,67.78,Engg Block
2024-01-02 17:00:00,19.4,Admin Block
2024-01-02 17:00:00,36.48,Library
2024-01-02 17:00:00,21.22,Hostel
2024-01-02 18:00:00,35.0,Library
2024-01-02 18:00:00,33.02,Hostel
2024-01-02 18:00:00,8.23,Admin Block
2024-01-02 18:00:00,63.12,Engg Block
2024-01-02 19:00:00,32.76,Library
2024-01-02 19:00:00,33.04,Hostel
2024-01-02 19:00:00,5.17,Admin Block
2024-01-02 19:00:00,32.37,Engg Block
2024-01-02 20:00:00,58.99,Hostel
2024-01-02 20:00:00,22.06,Engg Block
2024-01-02 20:00:00,8.52,Admin Block
2024-01-02 20:00:00,29.58,Library
2024-01-02 21:00:00,20.03,Library
2024-01-02 21:00:00,32.11,Hostel
2024-01-02 21:00:00,28.7,Engg Block
2024-01-02 21:00:00,7.76,Admin Block
2024-01-02 22:00:00,13.57,Library
2024-01-02 22:00:00,58.79,Hostel
2024-01-02 22:00:00,30.97,Engg Block
2024-01-02 22:00:00,7.25,Admin Block
2024-01-02 23:00:00,44.25,Engg Block
2024-01-02 23:00:00,55.8,Hostel
2024-01-02 23:00:00,13.02,Library
2024-01-02 23:00:00,5.45,Admin Block
2024-01-03 00:00:00,13.18,Library
2024-01-03 00:00:00,8.82,Admin Block
2024-01-03 00:00:00,23.63,Hostel
2024-01-03 00:00:00,38.01,Engg Block
2024-01-03 01:00:00,7.15,Admin Block
2024-01-03 01:00:00,9.31,Library
2024-01-03 01:00:00,39.04,Hostel
2024-01-03 01:00:00,19.57,Engg Block
2024-01-03 02:00:00,9.8,Library
2024-01-03 02:00:00,6.13,Admin Block
2024-01-03 02:00:00,37.84,Engg Block
2024-01-03 02:00:00,66.55,Hostel
2024-01-03 03:00:00,15.13,Library
2024-01-03 03:00:00,31.63,Engg Block
2024-01-03 03:00:00,34.58,Hostel
2024-01-03 03:00:00,4.0,Admin Block
2024-01-03 04:00:00,12.4,Library
2024-01-03 04:00:00,29.08,Engg Block
2024-01-03 04:00:00,42.17,Hostel
2024-01-03 04:00:00,7.96,Admin Block
2024-01-03 05:00:00,40.35,Engg Block
2024-01-03 05:00:00,55.79,Hostel
2024-01-03 05:00:00,14.2,Library
2024-01-03 05:00:00,10.84,Admin Block
2024-01-03 06:00:00,10.66,Admin Block
2024-01-03 06:00:00,60.52,Hostel
2024-01-03 06:00:00,12.57,Library
2024-01-03 06:00:00,44.02,Engg Block
2024-01-03 07:00:00,7.27,Admin Block
2024-01-03 07:00:00,12.57,Library
2024-01-03 07:00:00,43.15,Engg Block
2024-01-03 07:00:00,45.3,Hostel
2024-01-03 08:00:00,51.36,Engg Block
2024-01-03 08:00:00,7.04,Admin Block
2024-01-03 08:00:00,14.85,Library
2024-01-03 08:00:00,17.24,Hostel
2024-01-03 09:00:00,59.98,Engg Block
2024-01-03 09:00:00,27.34,Admin Block
2024-01-03 09:00:00,29.96,Hostel
2024-01-03 09:00:00,26.9,Library
2024-01-03 10:00:00,31.96,Hostel
2024-01-03 10:00:00,20.01,Admin Block
2024-01-03 10:00:00,30.58,Library
